Plant Name,Family,Common Name,Uses,Image File
Annona muricata L.,ANNONACEAE,Mamphal (Mar.),Leaves and flowers used in treating kidney problems and  bark is purgative.,Annona_muricata_L..jpg
Annona reticulata L.,ANNONACEAE,Nona (Beng.),It has antihelminthic and astringent properties.,Annona_reticulata_L..jpg
Annona squamosa L.,ANNONACEAE,Sharifa,Roots are purgative and seeds abortifacient,Annona_squamosa_L..jpg
Anodendron paniculatum A.DC.,APOCYNACEAE,Kavali (Mar.),"Roots are emetic, diaphoretic and expectorant and useful in treating amoebic dysentery",Anodendron_paniculatum_A.DC..jpg
Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &,COMBRETACEAE,"Dhawa, Dhaura","Tree produces a gum, a good substitute for Gum Arabic, used in pharmaceutical preparations.",Anogeissus_latifolia_Roxb._ex._DC._Wall._ex._Guill._&.jpg
Anthemis cotula L.,ASTERACEAE,Dog-fennel (Eng.),Used as an adulterant of Anthemis nobilis.,Anthemis_cotula_L..jpg
Anthemis nobilis L.,ASTERACEAE,Roman Chamomile (Eng.),"Dried flower-heads are carminative, stimulant and nervine tonic. An infusion called Chamomile tea is given for indigestion.",Anthemis_nobilis_L..jpg
Anthoxanthum odoratum L.,POACEAE,Sweet Vernal Grass (Eng.),Yields an essential oil used in perfumery; aromatic odour is due to coumarin.,Anthoxanthum_odoratum_L..jpg
Anthriscus cerefolium Hoffm.,APIACEAE,French Parsley (Eng.),Used as abortifacient; also applied to dressing sores.,Anthriscus_cerefolium_Hoffm..jpg
Antiaris toxicaria (Pers.) Lesch.,MORACEAE,Karwat (Mar.),"Acts as a cardiac and circulatory stimulant. Intestinal and uterine contraction stimulator.
Seeds used in dysentery.",Antiaris_toxicaria_Pers._Lesch..jpg
Antidesma bunius Spreng.,EUPHORBIACEAE,Amati (Mar.),Leaves are diaphoretic.,Antidesma_bunius_Spreng..jpg
Apama siliquosa Lam.,ARISTOLOCHIACEAE,Kuravankanda (Local name),"Mature roots used in treatment of  dysentery and cholera.
An ointment is  prepared from the plant  which is beneficial for  chronic sores and ulcers.",Apama_siliquosa_Lam..jpg
Aphanamixis polystachya (Wall.) R.Parker,MELIACEAE,Harin-harra,"Seeds have laxative and anthelmintic properties and bark has astringent properties, which is employed in treating liver and spleen diseases, abdominal complaints and tumours and also used in treating rheumatism.",Aphanamixis_polystachya_Wall._R.Parker.jpg
Apium graveolens L.,APIACEAE,"Shalari, Ajmud",It is used in liver and stomach complaints.,Apium_graveolens_L..jpg
Aquilegia vulgaris L.,RANUNCULACEAE,Common Columbine (Eng.),"It has diuretic, diaphoretic, antiscorbutic, and tranquilizing properties. Roots are used in removing kidney stones",Aquilegia_vulgaris_L..jpg
Arachis hypogaea L.,FABACEAE,Mung-phali,"The groundnut oil or Arachis oil has both medicinal and alimentary use and is a good substitute for olive salad or almond oil, the latter of which it is said to adulterate. The hay of the plant is very nutritious, is used for increasing the milk of cows.",Arachis_hypogaea_L..jpg
Arachne cordifolia (Decne.) Hurus.,EUPHORBIACEAE,"Bharti, Bhartoi",Leaf is used to cure snake and scorpion bite.,Arachne_cordifolia_Decne._Hurus..jpg
Arctium lappa L.,ASTERACEAE,"Jangli Kuth, Burdock (Eng.)","Roots are diuretic and diaphoretic, useful in gout and skin infections. Tincture of seeds used for psoriasis, acne, and prurigo.",Arctium_lappa_L..jpg
Ardisia solanacea (Poir.) Roxb.,MYRSINACEAE,Dhan-priya,"Roots are used in treating rheumatism, fever and diarrhea.",Ardisia_solanacea_Poir._Roxb..jpg
Areca catechu L.,ARECACEAE,"Supari, Chaali","Whole plant used in cholera, colic, dysent, small pox, vener dis; leaf in leucor. Roots are used in liver disease.",Areca_catechu_L..jpg
Areca triandra Roxb. ex Buch.-Ham.,ARECACEAE,wild areca palm (Eng.),Fruits substituted for areca nuts.,Areca_triandra_Roxb._ex_Buch.-Ham..jpg
Arenga saccharifera Labill.,ARECACEAE,Sugar palm (Eng.),Used as fish poison.,Arenga_saccharifera_Labill..jpg
Argemone mexicana L.,PAPAVERACEAE,Bharbhand,"When the plant is injured, a yellow exudes  which comes out is used in  ophthalmia and scabies. A  bitter, nauseous, non-edible oil is obtained from the seeds is used in cutaneous troubles and is considered as cathartic.",Argemone_mexicana_L..jpg
Argyreia cuneata (Willd.) Ker.-Gawl,CONVOLVULACEAE,Mhalungi (Mar.),Leaf extract used in diabetes treatment.,Argyreia_cuneata_Willd._Ker.-Gawl.jpg
Argyreia imbricata (Roth) Santapau & V.Patel,CONVOLVULACEAE,Errakuta (Tel.),Leaf paste is applied to the neck region for curing cough and quinsy.,Argyreia_imbricata_Roth_Santapau_&_V.Patel.jpg
Argyreia nervosa (Burm.f.) Boj.,CONVOLVULACEAE,"Samudrasokha, Ghavapatta","Used in treatment of gleet, gonorrhoea, strangury and ulcers. Leaf extraxt is used in cases  of skin troubles. Roots are diuretic and aphrodisiac and used in treatment of  rheumatism and nervous diseases",Argyreia_nervosa_Burm.f._Boj..jpg
Arisaema leschenaultii Blume,ARACEAE,Pambucholam (Malayalam),Corms used as medicine.,Arisaema_leschenaultii_Blume.jpg
Arisaema speciosum (Wall.) Mart.,ARACEAE,"Samo-ki-khumb, Kiralu( Punjab)",Roots given to the sheep for colic; also used for killing worms in cattle.,Arisaema_speciosum_Wall._Mart..jpg
Arisaema tortuosum (Wall.) Schott,ARACEAE,"Bagh Jandhra, Lin Cheisu (Manipuri)",Roots used to kill worms which infest cattle.,Arisaema_tortuosum_Wall._Schott.jpg
Aristida depressa Retz.,POACEAE,sixweeks threeawn (Eng.),Flowers used in itching and ringworm.,Aristida_depressa_Retz..jpg
Aristolochia bracteolata Lam.,ARISTOLOCHIACEAE,Kitamari,"It is purgative and anthelmintic. Bruised leaves are mixed with castor oil and applied to control eczema.  
Decoction of roots are found efficacious in expulsion of round worms.",Aristolochia_bracteolata_Lam..jpg
Aristolochia indica L.,ARISTOLOCHIACEAE,Ishvari mul (Sans.),"Roots and rhizomes are used as a gastric stimulant and bitter tonic. 
The chief active principle of the drug being aristolochic acid is used for stimulating phagocytosis
 in infectious diseases in formulation with antibiotics.
Juice of leaves are  used for cough, and seeds for inflammations and biliousness.",Aristolochia_indica_L..jpg
Aristolochia tagala Chem.,ARISTOLOCHIACEAE,Nallayiswari (Tel.),"It is carminative, tonic and emmenagogue.",Aristolochia_tagala_Chem..jpg
Arnebia benthamii (Wall.ex G. Don) Johnston,BORAGINACEAE,Kashmiri kahzaban (Kashmir),"It has stimulant, tonic, diuretic and expectorant properties.",Arnebia_benthamii_Wall.ex_G._Don_Johnston.jpg
Arnebia euchroma (Royle) Johnston,BORAGINACEAE,"Laljiri (Garhwal), Aam (Ladh.)",Used for tooth and ear-ache and applied to eruptions. It has anticancer properties.,Arnebia_euchroma_Royle_Johnston.jpg
Arnica montana L.,ASTERACEAE,Leopard's bane (Eng.),"Dried flower are heads used as a tonic, irritant and vulnerary; contains arnicin and an essential oil. Arnica root consists of dried rhizomes land roots, used for the same purposes as dried flower heads; their tincture is used for sprains and bruises.",Arnica_montana_L..jpg
Artabotrys hexapetalus (L.f.) Bhandari,ANNONACEAE,Hara Champaka (Sans.),Leaves have antifertility principle.,Artabotrys_hexapetalus_L.f._Bhandari.jpg
Artabotrys suaveolens Blume,ANNONACEAE,Koluvaravalli (Mal.),"Bark Decoction used as an emmenagogue, and after parturition",Artabotrys_suaveolens_Blume.jpg
Artanema longifolium (L). Vatke,SCROPHULARIACEAE,Kokilaksha (Sans.),Used in preparing contraceptive medicines.,Artanema_longifolium_L._Vatke.jpg
Artemisia absynthium L.,ASTERACEAE,Vilayathi afsanthin,"Main source of the drug named Afsanteen, which consists of twigs, leaves, and flower-heads, and used in chronic fever, swellings, and inflammation of liver; also employed as a tonic and stimulant. Herb yields an essential oil called Absinthe or Wormwood Oil which has a tonic effect on digestive organs; also used externally in rheumatism. Seeds yield a fatty oil. Herb is the best source of azulene.",Artemisia_absynthium_L..jpg
Artemisia dracunculcus L.,ASTERACEAE,Dragon Mugwort (Eng.),"Leaves has aperient, stomachic, stimulant, and febrifugic properties.",Artemisia_dracunculcus_L..jpg
Artemisia indica Willd.,ASTERACEAE,Nagdona (Hindi),"Leaf infusion is used in asthma, nervous and spasmodic infections. Roots are employed as
tonic and antiseptic.",Artemisia_indica_Willd..jpg
Artemisia maritima L.,ASTERACEAE,Kirmala,"Alkaloid santonin is extracted from unopened flower heads. Santonin is used as an anthelmintic, particularly effective against round
worms. Herb used as a stomachic and laxative. Decoction used as a febrifuge. Contains an essential oil.",Artemisia_maritima_L..jpg
Artemisia nilagirica (C.B.Clarke) Pamp.,ASTERACEAE,Nagdona,Leaves and flowering tops are used in asthma. Much allied to A. vulgaris Linn and known by the same name Nagdona. Yields an essential oil.,Artemisia_nilagirica_C.B.Clarke_Pamp..jpg
Artemisia persica Boiss.,ASTERACEAE,Pardesi davano (Guj.),"Plant is used as tonic, febrifuge, and vermifuge.",Artemisia_persica_Boiss..jpg
Artemisia roxburghiana Wall. ex. Besser,ASTERACEAE,Roxburgh's Wormwood (Eng.),Leaves and flowers yield an essential oil having thujone-like flavour.,Artemisia_roxburghiana_Wall._ex._Besser.jpg
Artemisia sacrorum Ledeb.,ASTERACEAE,Burmack (Ladakh),Herb is given to horses in infections of the head. Leaves used for abdominal pains. Yields an essential oil containing cineol and camphor.,Artemisia_sacrorum_Ledeb..jpg
Artemisia scoparia Waldst. & Kit.,ASTERACEAE,"Seeta-bani, Jhau",Plant produces an infusion used as a purgative. Flowering tops yield an essential oil,Artemisia_scoparia_Waldst._&_Kit..jpg
Artemisia sivarsiana Ehrh. Ex. Willd.,ASTERACEAE,Kaadu davana (Kan.),Sieversinin present in the herb possesses antimicrobial activity. Plant is a good source of chamazulene.,Artemisia_sivarsiana_Ehrh._Ex._Willd..jpg
Arthrocnemum indicum (Willd.) Moq.,CHENOPODIACEAE,Machola,Reduces pain in case of scorpion sting.,Arthrocnemum_indicum_Willd._Moq..jpg
Artocarpus heterophyllus Lam.,MORACEAE,Kathal,"Leaves antihelminthic and used in various skin infections, sores, burns and toothache. Latex used in relieving stomach ache.",Artocarpus_heterophyllus_Lam..jpg
Artocarpus lakoocha Roxb.,MORACEAE,Barhal,Used as a masticatory medicine.,Artocarpus_lakoocha_Roxb..jpg
Arundo donax L.,POACEAE,Bara nal,"Rhizome used as sudorific,
emollient, diuretic, antilactant,
antidropsical; uterine stimulant
(stimulates menstrual discharge), hypotensive.",Arundo_donax_L..jpg
Asclepias curassavica L.,ASCLEPIADACEAE,"Kakatundi, Kakanasika","Roots are emetic and cathartic and used in treatment of piles and gonorrhea. Juice of 
leaves are anthelmintic, anti dysenteric and sudorific and used against cancer.",Asclepias_curassavica_L..jpg
Asparagus adscendens Roxb.,LILIACEAE,Satavar,"Tubers used as cooling, demulcent and diaphoretic",Asparagus_adscendens_Roxb..jpg
Asparagus filicinus Buch.-Ham ex D. Don,LILIACEAE,Allipalli (Punj.),Used as astringent and tonic; also diuretic.,Asparagus_filicinus_Buch.-Ham_ex_D._Don.jpg
Asparagus gonocladus Baker,LILIACEAE,Sadaveri (Local name),Used in skin troubles.,Asparagus_gonocladus_Baker.jpg
Asparagus officinalis L.,LILIACEAE,"Marchuba, Paragus, Vilayati Karua, Nakdown, Margiyeh, Halyun","Stem contains asparagine
which is diuretic and used in cardiac dropsy and chronic gout.",Asparagus_officinalis_L..jpg
Asparagus racemosus Willd.,LILIACEAE,"Satawar, Satmuli (Beng.)","Herb used as tonic, diuretic, and galactagogue. Root juice is mixed with honey and given for dyspepsia; roots oils used for nervous and rheumatic complaints.",Asparagus_racemosus_Willd..jpg
Asplenium adiantum-nigrum L.,ASPLENIACEAE,Black Spleenwort (Eng.),"Bitter, diuretic, laxative and used in diseases of spleen and jaundice, and also to produce sterility in women. Rhizomes
anthelmintic.",Asplenium_adiantum-nigrum_L..jpg
Astragalus strobiliferus Royle ex Benth.,FABACEAE,Garmezu (Chitral),"Yields a gum used as a substitute for tragacanth. Naturally exuding gum is of inferior quality, but gum obtained by making incisions on the plant compares well with tragacanth.",Astragalus_strobiliferus_Royle_ex_Benth..jpg
Astragalus tribuloides Delile,FABACEAE,Ogai (Punjab),Seeds are ussed as demulcent and emollient.,Astragalus_tribuloides_Delile.jpg
Asystasia gangetica (L.) T.Anderson,ACANTHACEAE,Lavana-valli (Sans.),Juice of the plant is administered to children suffering from swellings and rheumatism.,Asystasia_gangetica_L._T.Anderson.jpg
Atriplex hortensis L.,CHENOPODIACEAE,"Korake, Surake",Leaves and seeds have diuretic and emollient properties and employed in pulmonary troubles.,Atriplex_hortensis_L..jpg
Atropa acuminata Royle,SOLANACEAE,Indian Atropa (Eng.),"Root and leaf extract has  narcotic, sedative, and diuretic properties.",Atropa_acuminata_Royle.jpg
Atropa belladona L.,SOLANACEAE,Angur Shefa,"Dried root and leaf extract is used as a sedative, antispasmodic, and anodyne. Used as a mydriatic  to dilate pupils in ophthalmology. Leaves have stimulant and narcotic properties.",Atropa_belladona_L..jpg
Atylosia scrabaeoides (L.) Benth.,FABACEAE,"Bnkulthi, Birghore (Local names)","The plant is used to improve baldness and for gastric problems. It is used for burns, gonor, night fever, pain in leg, dropsy and dysentry. The leaves of the plant is used for cholera,  child birth, and in post natal cases.",Atylosia_scrabaeoides_L._Benth..jpg
Avena fatua L.,POACEAE,Common wild oat (Eng.),Used in the treatment of Diabetes and Dietetic treatment.,Avena_fatua_L..jpg
Avena sativa L.,POACEAE,Common Oat (Eng.),"Used as for rich in fat and protein, nutrients.",Avena_sativa_L..jpg
Averrhoa bilimbi L.,OXALIDACEAE,Tree Sorrel (Eng.),"The plant is astrigent, stmachic and  refrigant. Syrup of the fruit is prescribed in inflamation.",Averrhoa_bilimbi_L..jpg
Avicennia officinalis L.,VERBENACEAE,Bina,Green fruits are made into poultice for boils.,Avicennia_officinalis_L..jpg
Azadirachta indica (L.) A.Juss.,MELIACEAE,Nim,"Bark is employed in skin troubles. Leaves have antiseptic properties and applied to boils, ulcers and eczema.  Flowers are tonic and stomachic and Berries are purgative and emollient.",Azadirachta_indica_L._A.Juss..jpg
Azanza lampas (Cav.) Alef.,MALVACEAE,"Jangli bhendi, Bankapasi",Roots and fruits are employed for gonorrhoea and syphilis.Floralparts applied for cutaneous diseases.,Azanza_lampas_Cav._Alef..jpg
Azima tetracantha Lam.,SALVADORACEAE,Kantagur-kamai,Juice of the leaves are used to relieve cough in phthisis and in asthma.,Azima_tetracantha_Lam..jpg
Bacopa monnieri (L.) Pennell,SCROPHULARIACEAE,Nira-brahmi,"Commonly said to have properties that  improve intellect,  and cures insanity and other nervous diseases.",Bacopa_monnieri_L._Pennell.jpg
Balanites aegyptiaca (L.) Delile,BALANITACEAE,"Hingan, Hingot","Unripe fruits are used as cathartic. Ripe fruits are used for whooping cough and skin troubles. Bark is anthelmintic. Seeds are expectorant, used in whooping cough and for colic. Seeds  extract is hypotensive.",Balanites_aegyptiaca_L._Delile.jpg
Baliospermum montanum (Willd.) Muell.Arg.,EUPHORBIACEAE,Danti,"Seeds are purgative. Oil from the seeds are a powerful hydrogogue cathartic. 
It is used externally to treat rheumatism. Roots are purgative.",Baliospermum_montanum_Willd._Muell.Arg..jpg
Bambusa bambos Druce,POACEAE,Kalak (Local name),"Leaf emmenagogue, antileprotic, febrifuge, bechic; used in haemoptysis. Stem and leaf blood purifier (used in leucoderma and inflammatory
conditions). Root poisonous. Burnt root is applied to ringworm, bleeding gums, painful joints. Bark used for eruptions.",Bambusa_bambos_Druce.jpg
Barleria buxifolia L.,ACANTHACEAE,Liksura (Sans.),Leaves and roots are used to treat cough and inflammation.,Barleria_buxifolia_L..jpg
Barleria courtallica Nees,ACANTHACEAE,Chethasahacharam (Sans.),Leaves and roots are used to treat cough and inflammations.,Barleria_courtallica_Nees.jpg
Barleria cristata L.,ACANTHACEAE,Nil jhinti,Leaves and roots are used to treat cough and inflammation.,Barleria_cristata_L..jpg
Barleria longiflora L.f.,ACANTHACEAE,Ekakantaka (Sans.),Leaves and roots are used to treat cough and inflammations.,Barleria_longiflora_L.f..jpg
Barleria noctiflora L.f.,ACANTHACEAE,Naga gorinta (Telugu),Decoction is used as substitute for human milk,Barleria_noctiflora_L.f..jpg
Barleria prionitis L.,ACANTHACEAE,"Jhinti, Katsareya","Juice of the leaves are given with honey to treat catarrhal infection of children.
 A paste of the roots is applied to treat boils and glandular swellings. Leaves are chewed to relieve tooth-ache. Roots are febrifuge.",Barleria_prionitis_L..jpg
Barleria strigosa Willd.,ACANTHACEAE,Neelakurantak (Sans.),Leaves and roots are used to treat cough and inflammations.,Barleria_strigosa_Willd..jpg
